brewery,axis,score,evidence_type,evidence_detail,source_url,source_quality,phase_a_verified,confidence,notes
Spring Valley Brewery,1,5,IBC_Bronze,"IBC2025 Bronze 496 Hojun Lager",https://beertaster.org/medal/ibc2025_award.pdf,priority_2,YES,High,
Spring Valley Brewery,2,5,big_capital_QC,"大手資本(キリン)による完璧なQC",https://www.springvalleybrewery.jp/,priority_5,YES,High,
Spring Valley Brewery,3,3,national_brand,"和素材活用等 独自性は中程度",https://www.springvalleybrewery.jp/,priority_5,YES,Mid,
Spring Valley Brewery,4,4,urban_expansion,"都市型パブを通じたクラフト普及",https://otonami.jp/experiences/springvalleybrewery/,priority_4,YES,High,キリン傘下
Spring Valley Brewery,1_untappd,3.46,untappd_aggregate,"Untappd 3.46 / 38558 ratings",https://untappd.com/w/spring-valley-brewery/144027,priority_3,YES,High,
富士桜高原麦酒,1,4,JGBA_Gold,"JGBA2026 Gold Marron B Abbey Belgian-Style Fruit Beer",https://www.fujizakura-beer.jp/%E3%80%8Cjapan-great-beer-awards-2026%E3%80%8D/,priority_2,YES,High,Phase A新発見・両AI見落とし
富士桜高原麦酒,1,4,JGBA_Gold,"JGBA2026 Gold Laoho Bamberg-Style Märzen Rauchbier",https://www.fujizakura-beer.jp/%E3%80%8Cjapan-great-beer-awards-2026%E3%80%8D/,priority_2,YES,High,Phase A新発見
富士桜高原麦酒,1,4,WBA_Historical,"WBA2020 World's Best Lager Hoppy Pilsener Imperial Pilsner (歴史)",https://www.worldbeerawards.com/winner-beer/worlds-best-lager-hoppy-pilsener-world-beer-awards-2020,priority_1,YES,High,評価期間外だが重要文脈
富士桜高原麦酒,2,5,german_style,"ドイツスタイルの絶対的安定感",https://www.tasteatlas.com/best-rated-beers-in-japan,priority_4,YES,High,
富士桜高原麦酒,3,3,classic_pursuit,"伝統的手法の徹底追求",https://www.fujizakura-beer.jp/,priority_5,YES,Mid,
富士桜高原麦酒,4,3,regional_specialist,"歴史的重鎮 数々の審査会実績",https://www.fujizakura-beer.jp/,priority_5,YES,Mid,
DevilCraft,1,5,WBC_Gold,"WBC2024 Gold Black Igneous",https://archive.japanbeertimes.com/2024/04/wbc2024/,priority_1,YES,High,
DevilCraft,1,5,untappd_brewpub,"Untappd 3.77 / 24098 ratings 514 beers brewpub高位",https://untappd.com/w/devilcraft-tokyo-brewery/233161,priority_3,YES,High,
DevilCraft,2,4,brewpub_consistency,"長期にわたる一貫した高品質",https://www.devilcraft.jp/,priority_5,YES,High,
DevilCraft,3,4,style_strength,"IPAと黒系の強さ ピザペアリング文化",https://untappd.com/user/justinyee/lists/12246083,priority_5,YES,Mid,
DevilCraft,4,3,urban_brewpub,"東京都市brewpub文化の外資系開拓者",https://www.hopculture.com/best-craft-breweries-beer-bars-pubs-tokyo-japan/,priority_4,YES,Mid,
横浜ベイブルーイング,1,5,WBC_Gold,"WBC2024 Gold Yuzu Weiss",https://archive.japanbeertimes.com/2024/04/wbc2024/,priority_1,YES,High,
横浜ベイブルーイング,1,5,IBC_Silver,"IBC2025 Silver BAYSTARS ALE",https://www.beertaster.org/medal/ibc2025_award.pdf,priority_2,YES,High,
横浜ベイブルーイング,2,4,style_consistency,"クリーンスタイルと技術的精密さ",https://untappd.com/w/yokohama-bay-brewing-co/27911,priority_3,YES,High,
横浜ベイブルーイング,3,3,traditional_style,"伝統的チェコスタイル追求",https://www.tasteatlas.com/best-rated-beers-in-japan,priority_4,YES,Mid,
横浜ベイブルーイング,4,4,regional_core,"横浜シーン中核 業界認知",https://beerboy.beer/blogs/brewery-scope/23-number-nine-brewery,priority_5,YES,Mid,
横浜ベイブルーイング,1_untappd,3.67,untappd_aggregate,"Untappd 3.67 / 7404 ratings",https://untappd.com/w/yokohama-bay-brewing-co/27911,priority_3,YES,High,
京都醸造,1,4,untappd_aggregate,"Untappd 3.75 / 55987 ratings 428 beers",https://untappd.com/KyotoBrewing,priority_3,YES,High,
京都醸造,2,4,product_consistency,"製品群の品質安定",https://kyotobrewing.com/,priority_5,YES,High,
京都醸造,3,4,unique_concept,"ベルギー酵母×アメリカンホップ交配",https://beertengoku.com/2019/05/10/kyoto-brewing-company-information/,priority_4,YES,High,
京都醸造,4,4,kansai_leader,"関西圏リーダー 10年実績 海外メディア露出",https://www.lonelyplanet.com/articles/kyoto-ji-biru-craft-beer,priority_4,YES,High,Good Beer Hunting文脈で頻出
Y.MARKET BREWING,1,4,IBC_Bronze,"IBC2025 Bronze Yellow Sky Pale Ale",https://www.beertaster.org/medal/ibc2025_award.pdf,priority_2,YES,High,
Y.MARKET BREWING,1,4,untappd_aggregate,"Untappd 3.76 / 49413 ratings 713 beers",https://untappd.com/w/y-market-brewing/116775,priority_3,YES,High,
Y.MARKET BREWING,2,3-4,multi_release,"713 beers 大量リリース",https://untappd.com/w/y-market-brewing/116775,priority_3,YES,High,
Y.MARKET BREWING,3,4,wide_styles,"名駅圏軸の幅広いスタイル設計",https://beertengoku.com/2018/11/30/y-market-brewing-information/,priority_4,YES,High,
Y.MARKET BREWING,4,4,chubu_core,"中部シーン中核",https://beertengoku.com/2018/11/30/y-market-brewing-information/,priority_4,YES,High,
Far Yeast Brewing,1,4,WBC_Bronze,"WBC2022 Bronze Tokyo White",https://cdn.worldbeercup.org/wp-content/uploads/2022/05/06094630/WBC22-Winners-List.pdf,priority_1,YES,High,
Far Yeast Brewing,1,4,IBC_Gold,"IBC2024 Gold (Far Yeast公式記載)",https://faryeast.com/en/pages/award,priority_2,YES,Mid,
Far Yeast Brewing,2,3,style_breadth,"style line広いが一貫性確証は中位",https://faryeast.com/,priority_5,YES,Mid,
Far Yeast Brewing,3,4,barrel_aging,"Genryu Brewery と Hop Frontier Off Trail",https://beertengoku.com/2016/02/12/far-yeast-brewing-company/,priority_4,YES,High,
Far Yeast Brewing,4,4,global_orientation,"東京発グローバル志向",https://beertengoku.com/2016/02/12/far-yeast-brewing-company/,priority_4,YES,Mid,
VERTERE,1,4,brand_hype,"recent hard-award不在 cult評価中心",https://verterebrew.com/,priority_5,YES,Low,
VERTERE,2,3,can_release,"taproom拡張 缶展開",https://beertengoku.com/2019/05/17/vertere-beer-information/,priority_4,YES,Mid,
VERTERE,3,4,okutama_world,"Okutama文脈の世界観",https://beertengoku.com/2019/05/17/vertere-beer-information/,priority_4,YES,High,
VERTERE,4,4,multi_taproom,"横浜含む複数taproom展開",https://beertengoku.com/2019/05/17/vertere-beer-information/,priority_4,YES,Mid,
VERTERE,1_untappd,N/A,untappd_aggregate,"取得不能 Gemini「3.826」は規則②違反疑い",https://untappd.com/,priority_3,YES,Low,
CRAFTROCK BREWING,1,5,WBC_Gold,"WBC2026 Gold Sansho Lager",https://www.worldbeercup.org/news/world-beer-cup-2026-winners-announced/,priority_1,YES,High,Phase A新発見・両AI重大見落とし
CRAFTROCK BREWING,2,3,brand_construction,"都市型ブランド構築明確",https://beerinfo.com/2026-world-beer-cup-medal_winners/,priority_5,YES,Mid,
CRAFTROCK BREWING,3,4,music_culture,"音楽/カルチャー接続明確",https://www.youtube.com/watch?v=-EgT4BHTHdo,priority_5,YES,Mid,
CRAFTROCK BREWING,4,3,scene_influence,"scene influence限定だがWBC Gold で評価上昇",https://beerinfo.com/2026-world-beer-cup-medal_winners/,priority_5,YES,Mid,
Bighand Bros. Beer,1,5,WBC_Gold,"WBC2024 Gold Andalusite",https://archive.japanbeertimes.com/2024/04/wbc2024/,priority_1,YES,High,
Bighand Bros. Beer,1,5,WBC_Gold_2026,"WBC2026 Gold Flint",https://www.worldbeercup.org/news/world-beer-cup-2026-winners-announced/,priority_1,YES,High,Phase A新発見・両AI見落とし 2大会連続Gold
Bighand Bros. Beer,2,3,short_history,"2023開業 時系列短い",https://www.bighandbros.com/pages/brewery,priority_5,YES,Mid,
Bighand Bros. Beer,3,4,underground_brewery,"西陣の地下醸造所 デザイン融合",https://marble-bldg.com/b1-bbb,priority_5,YES,Mid,
Bighand Bros. Beer,4,3,emerging_influence,"WBC連続Gold で発展途上から急浮上",https://www.digistyle-kyoto.com/magazine/39413,priority_5,YES,Mid,
Totopia Brewery,1,4,untappd_aggregate,"Untappd 4.011 (Geminiのみ未検証)",https://craftbeerhunt.net/brewery/totopia-brewery,priority_3,PARTIAL,Low,Phase Aで確認できず
Totopia Brewery,2,3,short_history,"2022設立 中期蓄積段階",https://beertengoku.com/2024/04/12/totopia-brewery-information/,priority_4,YES,High,
Totopia Brewery,3,5,extreme_style,"Phobia系列 極端な濁り酸味 大量副原料",https://www.pen-online.jp/article/016891.html,priority_5,YES,High,
Totopia Brewery,4,3,emerging_geek,"愛知HAZY新世代象徴 ギーク層支持",https://www.japanbrewerscup.jp/totopia_brewery.html,priority_5,YES,Mid,
忽布古丹醸造,1,4,untappd_top,"Untappd上位層",https://untappd.com/UchuBrewing,priority_3,YES,Mid,
忽布古丹醸造,2,4,style_consistency,"ラガー・エール問わず安定",https://rihobeer.com/japan-craft-beer-trends-2026/,priority_4,YES,High,
忽布古丹醸造,3,4,domestic_hop,"上富良野産ホップ100%化挑戦",https://rihobeer.com/japan-craft-beer-trends-2026/,priority_4,YES,High,
忽布古丹醸造,4,3,domestic_hop_advocate,"国産ホップ推進重要プレイヤー",https://rihobeer.com/japan-craft-beer-trends-2026/,priority_4,YES,Mid,
Black Tide Brewing,1,4,specialty_review,"brewery info 専門媒体露出",https://beertengoku.com/2021/03/26/black-tide-brewing-information/,priority_4,YES,Mid,
Black Tide Brewing,2,4,can_consistency,"缶製品の品質一貫性",https://blacktidebrewing.com/en/,priority_5,YES,Mid,
Black Tide Brewing,3,4,kesennuma_recovery,"気仙沼復興連携の確固たるコンセプト",https://blacktidebrewing.com/en/,priority_5,YES,High,
Black Tide Brewing,4,3,tohoku_lead,"東北エリアクラフト市場牽引",https://blacktidebrewing.com/en/,priority_5,YES,Mid,
Black Tide Brewing,1_untappd,N/A,untappd_aggregate,"Gemini「3.826」未検証 規則②違反疑い",https://untappd.com/,priority_3,YES,Low,
RePuBrew,1,4,JGBA_Gold,"JGBA2026 Gold BARREL AGED",https://www.repubrew.com/news/jgba2026prize.html,priority_2,YES,High,
RePuBrew,1,4,WBC_Bronze_2026,"WBC2026 Bronze",https://www.repubrew.com/news/jgba2026prize.html,priority_5,YES,Mid,
RePuBrew,2,3-4,limited_release_brake,"限定品主体ロットブレ散見",https://untappd.com/,priority_3,YES,Mid,
RePuBrew,3,4,wild_saison,"多彩スタイル展開 ワイルドセゾン追求",https://www.repubrew.com/news/jgba2026prize.html,priority_5,YES,High,
RePuBrew,4,3,shizuoka_west,"静岡西側シーン存在感",https://www.repubrew.com/,priority_5,YES,Mid,
エチゴビール,1,3,untappd_aggregate,"Untappd 3.48 / 86144 ratings",https://untappd.com/w/echigo-beer-co-ltd/1516,priority_3,YES,High,
エチゴビール,2,4,national_consistency,"全国量販下で安定",https://echigobeer.com/,priority_5,YES,High,
エチゴビール,3,2,classic_pursuit,"既存スタイル忠実な再現中心 革新性限定",https://echigobeer.com/,priority_5,YES,Mid,
エチゴビール,4,5,history_pioneer,"日本最初の地ビール 殿堂入り認知",https://www.japanbeertimes.com/2025/04/a-brief-history-of-craft-beer-in-japan/?lang=ja,priority_4,YES,High,
Inkhorn Brewing,1,4,specialty_review,"BeerTengoku info 設計思想",https://craftbeerguide.jp/brewery/inkhorn-brewing/,priority_4,YES,Mid,
Inkhorn Brewing,2,3-4,bird_series,"鳥類モチーフ 緻密な完成度",https://craftbeerguide.jp/brewery/inkhorn-brewing/,priority_4,YES,Mid,
Inkhorn Brewing,3,4,latest_hops,"最新ホップ製品Hop Kief積極活用",https://www.late.beer/beer/inkhorn-shima_fukuro/,priority_5,YES,High,
Inkhorn Brewing,4,3,small_geek,"目白発マイクロスケール 規模以上のギーク認知",https://witchcraftmarket.com/collections/inkhorn-brewing,priority_5,YES,Mid,
Inkhorn Brewing,1_untappd,N/A,untappd_aggregate,"Gemini「4.034」未検証 規則②違反疑い",https://untappd.com/,priority_3,YES,Low,
スワンレイクビール,1,4,untappd_aggregate,"Untappd 3.63 / 14839 ratings",https://untappd.com/w/hyouko-yashiki-no-mori-brewery-swan-lake-beer/5724/beer,priority_3,YES,High,
スワンレイクビール,2,4,long_term_stability,"老舗定番の安定感",https://www.swanlake.co.jp/,priority_5,YES,High,
スワンレイクビール,3,3,classic_completion,"地方老舗の王道完成度",https://www.swanlake.co.jp/,priority_5,YES,Mid,
スワンレイクビール,4,4,hokushinetsu_history,"北信越の歴史的プレゼンス",https://www.japanbeertimes.com/2025/04/a-brief-history-of-craft-beer-in-japan/?lang=ja,priority_4,YES,Mid,
湘南ビール,1,3-4,national_competition,"国内コンペ定連 高評価蓄積",https://untappd.com/,priority_3,YES,Mid,
湘南ビール,2,4,sake_brewery,"酒蔵発の盤石な醸造・品質管理体制",https://untappd.com/,priority_3,YES,High,
湘南ビール,3,3,traditional_style,"伝統的スタイルの真摯な踏襲",https://untappd.com/,priority_3,YES,Mid,
湘南ビール,4,4,kanagawa_pioneer,"神奈川草分け的地位",https://untappd.com/,priority_3,YES,High,
Teenage Brewing,1,4,untappd_aggregate,"Untappd 3.93 / 12188 ratings",https://untappd.com/w/teenage-brewing/542053,priority_3,YES,High,
Teenage Brewing,2,3,short_history,"開業 2023-06 時系列短い",https://beertengoku.com/2025/09/05/teenage-brewing-information/,priority_4,YES,High,
Teenage Brewing,3,5,music_culture,"ローカル農産物・音楽文脈",https://beertengoku.com/2025/09/05/teenage-brewing-information/,priority_4,YES,High,
Teenage Brewing,4,3,emerging_influence,"影響力急伸中だが蓄積途上",https://teenage.jp/,priority_5,YES,Mid,
Brasserie Knot,1,4,untappd_strong,"Untappd 3.80 / 4660 ratings 33 beers",https://untappd.com/w/brasserie-knot/529612,priority_3,YES,High,
Brasserie Knot,2,4,small_consistency,"33 beers で総合 3.80 維持",https://untappd.com/w/brasserie-knot/529612,priority_3,YES,High,
Brasserie Knot,3,4,tsurui_local,"鶴居・道東ローカル性 + 高評価",https://brasserieknot.jp/,priority_5,YES,High,
Brasserie Knot,4,3,limited_regional,"地域影響まだ限定的",https://brasserieknot.jp/,priority_5,YES,Mid,
South Park Brewing,N/A,N/A,seed_unverified,"日本国内実体未確認 米国コロラド州同名と混同",https://sbg.colorado.gov/sites/sbg/files/documents/All_State_Liquor_Licenses_April_2024.xlsx,priority_5,YES,Low,seed指定だが評価不能
